list_name,name,label,hospital_district,hospital_location
yes_no,yes,Yes,,
yes_no,no,No,,
hospital_types,public,Public,,
hospital_types,private,Private,,
hospital_types,community,Community,,
hospital_types,medical_team,Medical Team,,
hospital_districts,bhaktapur,Bhaktapur,,
hospital_districts,kathmandu,Kathmandu,,
hospital_districts,lalitpur,Lalitpur,,
hospital_districts,other,Other,,
hospital_locations,bhaktapur,Bhaktapur,bhaktapur,
hospital_locations,bhaktapur_durbar_square,Bhaktapur Durbar Square,bhaktapur,
hospital_locations,gathaghar,Gathaghar,bhaktapur,
hospital_locations,madhyapur_thimi,Madhyapur Thimi,bhaktapur,
hospital_locations,sallaghari,Sallaghari,bhaktapur,
hospital_locations,suryabinayak,Suryabinayak,bhaktapur,
hospital_locations,thimi,Thimi,bhaktapur,
hospital_locations,other,Other,bhaktapur,
hospital_locations,babarmahal,Babarmahal,kathmandu,
hospital_locations,balambu,Balambu,kathmandu,
hospital_locations,balkhu,Balkhu,kathmandu,
hospital_locations,baneshwor,Baneshwor,kathmandu,
hospital_locations,bansbari,Bansbari,kathmandu,
hospital_locations,basundhara,Basundhara,kathmandu,
hospital_locations,bhimdhunga,Bhimdhunga,kathmandu,
hospital_locations,bouddha,Bouddha,kathmandu,
hospital_locations,chabahil,Chabahil,kathmandu,
hospital_locations,chhauni,Chhauni,kathmandu,
hospital_locations,dhapasi,Dhapasi,kathmandu,
hospital_locations,jorpati,Jorpati,kathmandu,
hospital_locations,kalanki,Kalanki,kathmandu,
hospital_locations,kalimati,Kalimati,kathmandu,
hospital_locations,kathmandu,Kathmandu,kathmandu,
hospital_locations,kirtipur,Kirtipur,kathmandu,
hospital_locations,maharajgunj,Maharajgunj,kathmandu,
hospital_locations,mitrapark,Mitrapark,kathmandu,
hospital_locations,new_baneshwor,New Baneshwor,kathmandu,
hospital_locations,pharping,Pharping,kathmandu,
hospital_locations,putalisadak,Putalisadak,kathmandu,
hospital_locations,sinamangal,Sinamangal,kathmandu,
hospital_locations,singhadurbar,Singhadurbar,kathmandu,
hospital_locations,tinkune,Tinkune,kathmandu,
hospital_locations,tripureshwor,Tripureshwor,kathmandu,
hospital_locations,other,Other,kathmandu,
hospital_locations,jawalakhel,Jawalakhel,lalitpur,
hospital_locations,lagankhel,Lagankhel,lalitpur,
