list_name,name,label,hospital_district,hospital_location
yes_no,Yes,Yes,,
yes_no,No,No,,
hospital_types,Public,Public,,
hospital_types,Private,Private,,
hospital_types,NGO,NGO,,
hospital_types,Field_Hospital,Field Hospital,,
hospital_types,Medical_Camp,Medical Camp,,
hospital_districts,Bhaktapur,Bhaktapur,,
hospital_districts,Dhading,Dhading,,
hospital_districts,Dolakha,Dolakha,,
hospital_districts,Gorkha,Gorkha,,
hospital_districts,Kathmandu,Kathmandu,,
hospital_districts,Kavrepalanchowk,Kavrepalanchowk,,
hospital_districts,Lalitpur,Lalitpur,,
hospital_districts,Makwanpur,Makwanpur,,
hospital_districts,Nuwakot,Nuwakot,,
hospital_districts,Okhaldhunga,Okhaldhunga,,
hospital_districts,Ramechhap,Ramechhap,,
hospital_districts,Rasuwa,Rasuwa,,
hospital_districts,Sindhuli,Sindhuli,,
hospital_districts,Sindhupalchowk,Sindhupalchowk,,
hospital_districts,Other,Other,,
hospital_locations,Bhaktapur,Bhaktapur,Bhaktapur,
hospital_locations,Bhaktapur_Durbar_Square,Bhaktapur Durbar Square,Bhaktapur,
hospital_locations,Gathaghar,Gathaghar,Bhaktapur,
hospital_locations,Madhyapur_Thimi,Madhyapur Thimi,Bhaktapur,
hospital_locations,Sallaghari,Sallaghari,Bhaktapur,
hospital_locations,Suryabinayak,Suryabinayak,Bhaktapur,
hospital_locations,Thimi,Thimi,Bhaktapur,
hospital_locations,Other,Other,Bhaktapur,
hospital_locations,Dhading,Dhading,Dhading,
hospital_locations,Other,Other,Dhading,
hospital_locations,Bhimeshwor_Municipality,Bhimeshwor Municipality,Dolakha,
hospital_locations,Charikot,Charikot,Dolakha,
hospital_locations,Dolakha,Dolakha,Dolakha,
hospital_locations,Other,Other,Dolakha,
hospital_locations,Gorkha_Municipality,Gorkha Municipality,Gorkha,
hospital_locations,Other,Other,Gorkha,
hospital_locations,Babarmahal,Babarmahal,Kathmandu,
hospital_locations,Balambu,Balambu,Kathmandu,
hospital_locations,Balkhu,Balkhu,Kathmandu,
hospital_locations,Baneshwor,Baneshwor,Kathmandu,
hospital_locations,Bansbari,Bansbari,Kathmandu,
hospital_locations,Basundhara,Basundhara,Kathmandu,
hospital_locations,Bhimdhunga,Bhimdhunga,Kathmandu,
